cat_code,country,county,f_class,f_code,gid,lat,lon,name,state
US.AL.045,US,45,P,PPLA2,4081936,31.459059999999997,-85.64049,Ozark,AL
US.AL.105,US,105,A,ADM2,4082741,32.63847,-87.2944,Perry County,AL
US.AL.113,US,113,P,PPLA2,4082866,32.47098,-85.00076999999999,Phenix City,AL
US.AL.107,US,107,A,ADM2,4082974,33.280879999999996,-88.08869,Pickens County,AL
US.AL.109,US,109,A,ADM2,4083063,31.80272,-85.94091999999999,Pike County,AL
US.AL.001,US,1,P,PPLA2,4084796,32.46402,-86.4597,Prattville,AL
US.AL.111,US,111,A,ADM2,4085418,33.29379,-85.45907,Randolph County,AL
US.AL.037,US,37,P,PPLA2,4086637,32.88957,-86.21969,Rockford,AL
US.AL.059,US,59,P,PPLA2,4087313,34.507870000000004,-87.72864,Russellville,AL
US.AL.115,US,115,A,ADM2,4087481,33.7157,-86.31469,Saint Clair County,AL
US.AL.071,US,71,P,PPLA2,4088916,34.672309999999996,-86.03415,Scottsboro,AL
US.AL.047,US,47,P,PPLA2,4089114,32.40736,-87.0211,Selma,AL
US.AL.117,US,117,A,ADM2,4089551,33.26428,-86.66065,Shelby County,AL
US.AL.119,US,119,A,ADM2,4092386,32.59101,-88.19879,Sumter County,AL
US.AL.121,US,121,P,PPLA2,4092788,33.43594,-86.1058,Talladega,AL
US.AL.121,US,121,A,ADM2,4092795,33.38006,-86.16591,Talladega County,AL
US.AL.123,US,123,A,ADM2,4092827,32.8624,-85.7975,Tallapoosa County,AL
US.AL.109,US,109,P,PPLA2,4094163,31.808770000000003,-85.96995,Troy,AL
US.AL.125,US,125,P,PPLA2,4094455,33.20984,-87.56917,Tuscaloosa,AL
US.AL.125,US,125,A,ADM2,4094463,33.28955,-87.52503,Tuscaloosa County,AL
US.AL.033,US,33,P,PPLA2,4094484,34.7312,-87.70253000000001,Tuscumbia,AL
US.AL.087,US,87,P,PPLA2,4094490,32.42415,-85.69096,Tuskegee,AL
US.AL.011,US,11,P,PPLA2,4094975,32.14432,-85.71495,Union Springs,AL
US.AL.075,US,75,P,PPLA2,4095392,33.75705,-88.10892,Vernon,AL
US.AL.127,US,127,A,ADM2,4096107,33.803329999999995,-87.29736,Walker County,AL
US.AL.129,US,129,A,ADM2,4096449,31.4076,-88.20788,Washington County,AL
US.AL.111,US,111,P,PPLA2,4096712,33.309,-85.48467,Wedowee,AL
US.AL.051,US,51,P,PPLA2,4097257,32.54374,-86.21191,Wetumpka,AL
US.AL.131,US,131,A,ADM2,4097694,31.989240000000002,-87.3082,Wilcox County,AL
US.AL.133,US,133,A,ADM2,4098200,34.149229999999996,-87.37368000000001,Winston County,AL
US.AR.019,US,19,P,PPLA2,4099647,34.12093,-93.05378,Arkadelphia,AR
US.AR.041,US,41,P,PPLA2,4099673,33.60872,-91.20678000000001,Arkansas City,AR
US.AR.001,US,1,A,ADM2,4099679,34.29081,-91.37491,Arkansas County,AR
US.AR.135,US,135,P,PPLA2,4099837,36.22396,-91.60848,Ash Flat,AR
US.AR.081,US,81,P,PPLA2,4099852,33.67429,-94.13131,Ashdown,AR
US.AR.003,US,3,A,ADM2,4099869,33.19122,-91.76845,Ashley County,AR
US.AR.147,US,147,P,PPLA2,4099952,35.282309999999995,-91.36541,Augusta,AR
US.AR.063,US,63,P,PPLA2,4100525,35.7698,-91.64097,Batesville,AR
US.AR.005,US,5,A,ADM2,4100581,36.28719,-92.33697,Baxter County,AR
US.AR.125,US,125,P,PPLA2,4101241,34.56454,-92.58683,Benton,AR
US.AR.007,US,7,A,ADM2,4101244,36.33872,-94.25619,Benton County,AR
US.AR.007,US,7,P,PPLA2,4101260,36.37285,-94.20881999999999,Bentonville,AR
US.AR.009,US,9,A,ADM2,4102608,36.30859,-93.0915,Boone County,AR
US.AR.011,US,11,A,ADM2,4102799,33.46642,-92.1624,Bradley County,AR
US.AR.013,US,13,A,ADM2,4104063,33.55803,-92.50304,Calhoun County,AR
US.AR.103,US,103,P,PPLA2,4104182,33.584559999999996,-92.83433000000001,Camden,AR
US.AR.015,US,15,A,ADM2,4104658,36.34102,-93.53818000000001,Carroll County,AR
US.AR.017,US,17,A,ADM2,4105506,33.26725,-91.29397,Chicot County,AR
US.AR.095,US,95,P,PPLA2,4105824,34.69315,-91.31374,Clarendon,AR
US.AR.019,US,19,A,ADM2,4105838,34.050959999999996,-93.17636999999999,Clark County,AR
US.AR.071,US,71,P,PPLA2,4105879,35.471470000000004,-93.46656999999999,Clarksville,AR
US.AR.021,US,21,A,ADM2,4105899,36.368390000000005,-90.41738000000001,Clay County,AR
US.AR.023,US,23,A,ADM2,4106009,35.538109999999996,-92.02674,Cleburne County,AR
US.AR.025,US,25,A,ADM2,4106032,33.89836,-92.18514,Cleveland County,AR
US.AR.141,US,141,P,PPLA2,4106074,35.59147,-92.46044,Clinton,AR
US.AR.027,US,27,A,ADM2,4106339,33.214290000000005,-93.22731,Columbia County,AR
US.AR.045,US,45,P,PPLA2,4106458,35.0887,-92.4421,Conway,AR
US.AR.029,US,29,A,ADM2,4106460,35.262209999999996,-92.70132,Conway County,AR
US.AR.031,US,31,A,ADM2,4106979,35.83079,-90.63285,Craighead County,AR
US.AR.033,US,33,A,ADM2,4107027,35.58883,-94.24311999999999,Crawford County,AR
