name,latitude,longitude,state,admin2_code,geonameid
Carmi,38.09088,-88.15865,IL,193,4235246
Carrollton,39.30227,-90.40706,IL,061,4235288
Charleston,39.49615,-88.17615,IL,029,4235668
Chester,37.91366,-89.82205,IL,157,4235724
Decatur,39.84031,-88.9548,IL,115,4236895
Edwardsville,38.81144,-89.95316,IL,119,4237717
Effingham,39.12004,-88.54338,IL,049,4237727
Elizabethtown,37.44588,-88.30504,IL,069,4237790
Fairfield,38.37894,-88.35977,IL,191,4238081
Golconda,37.36727,-88.48643,IL,151,4239519
Greenville,38.89227,-89.41314,IL,005,4239867
Hardin,39.15671,-90.6179,IL,013,4240209
Harrisburg,37.73838,-88.54061,IL,165,4240284
Hillsboro,39.16128,-89.4954,IL,135,4240782
Jacksonville,39.73394,-90.22901,IL,137,4241704
Jerseyville,39.12005,-90.32845,IL,083,4241822
Jonesboro,37.45172,-89.26814,IL,181,4241992
Lawrenceville,38.72921,-87.68169,IL,101,4242769
Louisville,38.77227,-88.50255,IL,025,4243551
Marion,37.73061,-88.93313,IL,199,4243899
Marshall,39.39143,-87.69364,IL,023,4243951
McLeansboro,38.09338,-88.53561,IL,065,4244307
Metropolis,37.15117,-88.732,IL,127,4244462
Mound City,37.08533,-89.16257,IL,153,4244928
Mount Carmel,38.41088,-87.76142,IL,185,4244967
Mount Sterling,39.98727,-90.76346,IL,009,4245136
Mount Vernon,38.31727,-88.90312,IL,081,4245152
Murphysboro,37.7645,-89.33509,IL,077,4245336
Nashville,38.34366,-89.38064,IL,189,4245376
Olney,38.73088,-88.08532,IL,159,4246382
Paris,39.61115,-87.69614,IL,045,4246659
Pinckneyville,38.08033,-89.38203,IL,145,4246983
Pittsfield,39.60783,-90.80513,IL,149,4247060
Quincy,39.9356,-91.40987,IL,001,4247703
Robinson,39.00532,-87.73919,IL,033,4248256
Salem,38.62699,-88.94562,IL,121,4249286
Shawneetown,37.7131,-88.1867,IL,059,4249830
Shelbyville,39.40643,-88.79007,IL,173,4249857
Sullivan,39.59948,-88.60784,IL,139,4250862
Taylorville,39.54894,-89.29453,IL,021,4251141
Toledo,39.27365,-88.24365,IL,035,4251330
Tuscola,39.7992,-88.2831,IL,041,4251593
Vandalia,38.9606,-89.09368,IL,051,4251917
Vienna,37.41533,-88.89784,IL,087,4252025
Virginia,39.95116,-90.21234,IL,017,4252071
Waterloo,38.33589,-90.14983,IL,133,4252548
Winchester,39.62977,-90.45624,IL,171,4253268
Bedford,38.86116,-86.48721,IN,093,4254282
Bloomfield,39.02699,-86.93751,IN,055,4254671
Bloomington,39.16533,-86.52639,IN,105,4254679
Boonville,38.04921,-87.27417,IN,173,4254797
Brazil,39.52365,-87.12502,IN,021,4254884
Brookville,39.42311,-85.01274,IN,047,4254999
Brownstown,38.87894,-86.04192,IN,071,4255063
Columbus,39.20144,-85.92138,IN,005,4256038
Connersville,39.64116,-85.14107,IN,041,4256085
Corydon,38.21201,-86.12192,IN,061,4256184
Danville,39.7606,-86.52639,IN,063,4256447
English,38.3345,-86.46415,IN,025,4257173
Evansville,37.97476,-87.55585,IN,163,4257227
Greencastle,39.64449,-86.86473,IN,133,4258273
Greenfield,39.78504,-85.76942,IN,059,4258285
Greensburg,39.33727,-85.48358,IN,031,4258302
Jasper,38.39144,-86.93111,IN,037,4259640
Jeffersonville,38.27757,-85.73718,IN,019,4259671
Lawrenceburg,39.09089,-84.84995,IN,029,4260223
Liberty,39.6356,-84.93107,IN,161,4260329
Madison,38.73589,-85.37996,IN,077,4260853
Martinsville,39.42783,-86.42833,IN,109,4261032
Mount Vernon,37.93227,-87.89503,IN,129,4261837
Nashville,39.20727,-86.2511,IN,013,4261983
New Albany,38.28562,-85.82413,IN,043,4262045
New Castle,39.92894,-85.37025,IN,065,4262072
Newport,39.8842,-87.40863,IN,165,4262177
Paoli,38.55617,-86.46832,IN,117,4262762
Petersburg,38.49199,-87.27862,IN,125,4262968
Princeton,38.35532,-87.56752,IN,051,4263396
Richmond,39.82894,-84.89024,IN,177,4263681
Rising Sun,38.9495,-84.85384,IN,115,4263736
Rockville,39.76254,-87.22918,IN,121,4263850
Rockport,37.88311,-87.04944,IN,147,4263856
Rushville,39.60921,-85.44636,IN,139,4263965
Salem,38.60561,-86.10109,IN,175,4264334
Scottsburg,38.68561,-85.77025,IN,143,4264555
Shelbyville,39.52144,-85.77692,IN,145,4264688
Shoals,38.66644,-86.79111,IN,101,4264771
Spencer,39.28671,-86.76251,IN,119,4265147
Sullivan,39.09532,-87.40585,IN,153,4265507
Tell City,37.95144,-86.76777,IN,123,4265717
Terre Haute,39.4667,-87.41391,IN,167,4265737
Versailles,39.072,-85.2519,IN,137,4266266
Vevay,38.74784,-85.06717,IN,155,4266278
Vincennes,38.67727,-87.52863,IN,083,4266307
Washington,38.65922,-87.17279,IN,027,4266586
Abilene,38.91722,-97.21391,KS,041,4267354
Alma,39.01667,-96.28916,KS,197,4267513
Anthony,37.15336,-98.03117,KS,077,4267605
Ashland,37.18864,-99.76568,KS,025,4267710
Atchison,39.56305,-95.12164,KS,005,4267733
Belleville,39.82445,-97.63254,KS,157,4268091
Beloit,39.45612,-98.10616,KS,123,4268119
Burlington,38.19447,-95.74276,KS,031,4268854
Clay Center,39.37694,-97.12474,KS,027,4269642
Coldwater,37.26891,-99.32678,KS,033,4269802
Columbus,37.16923,-94.84412,KS,021,4269841
Concordia,39.57084,-97.66254,KS,029,4269872
Cottonwood Falls,38.37224,-96.54278,KS,017,4269988
Council Grove,38.66112,-96.49195,KS,127,4270001
El Dorado,37.81724,-96.86225,KS,015,4270863
Ellsworth,38.73056,-98.22811,KS,053,4270945
Emporia,38.4039,-96.18166,KS,111,4271086
Erie,37.56811,-95.24331,KS,133,4271131
Eureka,37.82392,-96.28917,KS,073,4271159
Fort Scott,37.83976,-94.7083,KS,011,4271690
Fredonia,37.53394,-95.82665,KS,205,4271796
Garnett,38.28058,-95.24192,KS,003,4271974
Girard,37.51116,-94.83802,KS,037,4272061
Great Bend,38.36446,-98.76481,KS,009,4272340
Greensburg,37.6028,-99.29261,KS,097,4272411
Hays,38.87918,-99.32677,KS,051,4272782
Hiawatha,39.8525,-95.53582,KS,013,4272873
Hill City,39.36473,-99.84206,KS,065,4272980
Holton,39.46527,-95.73637,KS,085,4273096
Howard,37.47031,-96.26361,KS,049,4273226
Hutchinson,38.06084,-97.92977,KS,155,4273299
Independence,37.22424,-95.70831,KS,125,4273359
Iola,37.92448,-95.39998,KS,001,4273441
Jetmore,38.08446,-99.89346,KS,083,4273616
Junction City,39.02861,-96.8314,KS,061,4273680
Kansas City,39.11417,-94.62746,KS,209,4273837
Kingman,37.64585,-98.11367,KS,095,4273978
Kinsley,37.92307,-99.40984,KS,047,4273993
La Crosse,38.5314,-99.30872,KS,165,4274067
Larned,38.18057,-99.09871,KS,145,4274249
Lawrence,38.97167,-95.23525,KS,045,4274277
Leavenworth,39.31111,-94.92246,KS,103,4274305
Lincoln,39.04084,-98.14477,KS,105,4274450
Lyndon,38.61001,-95.68443,KS,139,4274906
Lyons,38.34501,-98.20173,KS,159,4274927
Manhattan,39.18361,-96.57167,KS,161,4274994
Mankato,39.78723,-98.21005,KS,089,4275004
Marion,38.34835,-97.01725,KS,115,4275070
Marysville,39.84111,-96.64724,KS,117,4275144
McPherson,38.37084,-97.66421,KS,113,4275261
Medicine Lodge,37.28113,-98.58036,KS,007,4275315
Minneapolis,39.12194,-97.7067,KS,143,4275586
Mound City,38.14281,-94.81357,KS,107,4275784
Ness City,38.45279,-99.90651,KS,135,4276166
Newton,38.04668,-97.34504,KS,079,4276248
Norton,39.83389,-99.89151,KS,137,4276452
Olathe,38.8814,-94.81913,KS,091,4276614
Osborne,39.43914,-98.69624,KS,141,4276781
Oskaloosa,39.21528,-95.31275,KS,087,4276792
Oswego,37.16757,-95.10996,KS,099,4276800
Ottawa,38.61557,-95.26775,KS,059,4276816
Paola,38.57224,-94.87913,KS,121,4276956
Phillipsburg,39.75612,-99.32399,KS,147,4277177
Pratt,37.64391,-98.73759,KS,151,4277752
Russell,38.89527,-98.86103,KS,167,4278471
Saint John,38.00224,-98.76009,KS,185,4278621
Salina,38.84028,-97.61142,KS,169,4278890
Sedan,37.12672,-96.18694,KS,019,4279149
Seneca,39.83416,-96.06417,KS,131,4279170
Smith Center,39.77918,-98.78507,KS,183,4279474
Troy,39.78305,-95.08997,KS,043,4280660
WaKeeney,39.02501,-99.87957,KS,195,4281083
Washington,39.81806,-97.05086,KS,201,4281253
Wellington,37.2653,-97.37171,KS,191,4281386
Westmoreland,39.39389,-96.41361,KS,149,4281614
Wichita,37.69224,-97.33754,KS,173,4281730
Winfield,37.23975,-96.99559,KS,035,4281897
Yates Center,37.88115,-95.73332,KS,207,4282061
Albany,36.6909,-85.13468,KY,053,4282305
Barbourville,36.86648,-83.88881,KY,121,4283128
Bardstown,37.80923,-85.4669,KY,179,4283133
Bardwell,36.87061,-89.00979,KY,039,4283138
Beattyville,37.57175,-83.70686,KY,129,4283541
Bedford,38.59256,-85.31773,KY,223,4283606
Benton,36.85728,-88.35031,KY,157,4283953
Booneville,37.4762,-83.67491,KY,189,4285190
Bowling Green,36.99032,-86.4436,KY,227,4285268
Brandenburg,37.99896,-86.16941,KY,163,4285380
Brooksville,38.68257,-84.06576,KY,023,4285607
Brownsville,37.19255,-86.26775,KY,061,4285708
Burkesville,36.79034,-85.37052,KY,057,4286280
Burlington,39.02756,-84.72411,KY,015,4286281
Cadiz,36.86505,-87.8353,KY,221,4286479
Calhoun,37.53894,-87.25833,KY,149,4286519
Campbellsville,37.3434,-85.34191,KY,217,4286717
