name,latitude,longitude,state,admin2_code,geonameid
Hillsborough County,27.90623,-82.34692,FL,057,4158712
Holmes County,30.86789,-85.8141,FL,059,4158961
Indian River County,27.69639,-80.57409,FL,061,4159657
Jackson County,30.79539,-85.21546,FL,063,4159990
Jefferson County,30.42346,-83.90047,FL,065,4160118
Lafayette County,29.98552,-83.18107,FL,067,4161127
Lake County,28.76147,-81.7113,FL,069,4161204
Lee County,26.62536,-81.84952,FL,071,4161743
Leon County,30.45804,-84.27788,FL,073,4161831
Levy County,29.28221,-82.78861,FL,075,4161891
Liberty County,30.24136,-84.88291,FL,077,4161925
Madison County,30.44414,-83.47012,FL,079,4163142
Manatee County,27.47752,-82.35754,FL,081,4163277
Marion County,29.2102,-82.05668,FL,083,4163456
Martin County,27.08157,-80.39851,FL,085,4163566
Miami-Dade County,25.60897,-80.49867,FL,086,4164238
Monroe County,25.55731,-80.91705,FL,087,4164762
Nassau County,30.61058,-81.77142,FL,089,4165603
Okaloosa County,30.66503,-86.59218,FL,091,4166818
Okeechobee County,27.38629,-80.88858,FL,093,4166825
Orange County,28.51442,-81.32348,FL,095,4167060
Osceola County,28.06266,-81.14948,FL,097,4167218
Palm Beach County,26.64757,-80.43651,FL,099,4167510
Pasco County,28.30674,-82.43887,FL,101,4167895
Pinellas County,27.90268,-82.73955,FL,103,4168618
Polk County,27.94888,-81.69767,FL,105,4168988
Putnam County,29.60863,-81.7443,FL,107,4169471
Saint Johns County,29.91218,-81.40989,FL,109,4171153
Saint Lucie County,27.38081,-80.44554,FL,111,4171260
Santa Rosa County,30.6929,-87.01845,FL,113,4172096
Sarasota County,27.18248,-82.36498,FL,115,4172139
Seminole County,28.71698,-81.2363,FL,117,4172445
Sumter County,28.70482,-82.081,FL,119,4174301
Suwannee County,30.19561,-82.99149,FL,121,4174543
Taylor County,30.01957,-83.61897,FL,123,4174886
Union County,30.04384,-82.37144,FL,125,4176099
Volusia County,29.06345,-81.14857,FL,127,4176559
Wakulla County,30.14777,-84.37561,FL,129,4177321
Walton County,30.61847,-86.17152,FL,131,4177409
Washington County,30.61059,-85.66533,FL,133,4177485
Appling County,31.74928,-82.28898,GA,001,4180088
Atkinson County,31.29711,-82.87999,GA,003,4180432
Bacon County,31.55367,-82.45269,GA,005,4180711
Baker County,31.32618,-84.44467,GA,007,4180816
Baldwin County,33.06928,-83.24959,GA,009,4180872
Banks County,34.35413,-83.49737,GA,011,4180965
Barrow County,33.9932,-83.71276,GA,013,4181182
Bartow County,34.23786,-84.8405,GA,015,4181218
Ben Hill County,31.75978,-83.22046,GA,017,4181955
Berrien County,31.27606,-83.22962,GA,019,4182126
Bibb County,32.80659,-83.69776,GA,021,4182755
Bleckley County,32.43444,-83.32784,GA,023,4183415
Brantley County,31.19688,-81.9819,GA,025,4184153
Brooks County,30.84197,-83.58021,GA,027,4184557
Bryan County,32.01322,-81.44247,GA,029,4184899
Bulloch County,32.39681,-81.74318,GA,031,4185202
Burke County,33.06115,-82.00078,GA,033,4185265
Butts County,33.28785,-83.95717,GA,035,4185484
Calhoun County,31.5292,-84.62451,GA,037,4185662
Camden County,30.92249,-81.63639,GA,039,4185838
Candler County,32.40344,-82.07367,GA,043,4186104
Carroll County,33.58282,-85.07974,GA,045,4186396
Catoosa County,34.90366,-85.13825,GA,047,4186713
Charlton County,30.78172,-82.13769,GA,049,4187348
Chatham County,31.97402,-81.09243,GA,051,4187390
Chattahoochee County,32.34697,-84.78705,GA,053,4187416
Chattooga County,34.47502,-85.34529,GA,055,4187459
Cherokee County,34.24393,-84.4762,GA,057,4187535
Clarke County,33.95117,-83.36733,GA,059,4188191
Clay County,31.62628,-84.9801,GA,061,4188258
Clayton County,33.54189,-84.35769,GA,063,4188291
Clinch County,30.91495,-82.70624,GA,065,4188433
Cobb County,33.94147,-84.57667,GA,067,4188547
Coffee County,31.54927,-82.8492,GA,069,4188653
Colquitt County,31.18839,-83.76885,GA,071,4188937
Columbia County,33.54412,-82.26406,GA,073,4188957
Cook County,31.15399,-83.43047,GA,075,4189236
Coweta County,33.35346,-84.76337,GA,077,4189828
Crawford County,32.7145,-83.98634,GA,079,4189924
Crisp County,31.92293,-83.7681,GA,081,4190062
Dade County,34.85452,-85.50453,GA,083,4190530
Dawson County,34.4443,-84.17064,GA,085,4190959
DeKalb County,33.77153,-84.22641,GA,089,4191014
Decatur County,30.87834,-84.57907,GA,087,4191127
Dodge County,32.17218,-83.1684,GA,091,4191654
Dooly County,32.15718,-83.79875,GA,093,4191760
Dougherty County,31.53337,-84.21625,GA,095,4191903
Douglas County,33.70182,-84.76793,GA,097,4191928
Early County,31.32283,-84.90364,GA,099,4192532
Echols County,30.71009,-82.89394,GA,101,4192932
Effingham County,32.36731,-81.34134,GA,103,4193042
Elbert County,34.11679,-82.8401,GA,105,4193088
Emanuel County,32.58976,-82.30171,GA,107,4193335
Evans County,32.15676,-81.88688,GA,109,4193705
Fannin County,34.86411,-84.31985,GA,111,4194387
Fayette County,33.41394,-84.49419,GA,113,4194465
Floyd County,34.26316,-85.21428,GA,115,4195536
Forsyth County,34.22551,-84.12502,GA,117,4195777
Franklin County,34.37544,-83.22918,GA,119,4196096
Fulton County,33.79025,-84.46702,GA,121,4196508
Gilmer County,34.69121,-84.45559,GA,123,4197146
Glascock County,33.22928,-82.6107,GA,125,4197240
Glynn County,31.21324,-81.4937,GA,127,4197388
Gordon County,34.50336,-84.87575,GA,129,4197608
Grady County,30.87467,-84.23443,GA,131,4197807
Greene County,33.57878,-83.16666,GA,133,4198160
Gwinnett County,33.96173,-84.02363,GA,135,4198645
Habersham County,34.63102,-83.53112,GA,137,4198688
Hall County,34.31689,-83.81968,GA,139,4198821
Hancock County,33.27043,-83.00069,GA,141,4198997
Haralson County,33.79423,-85.21103,GA,143,4199102
Harris County,32.736,-84.90899,GA,145,4199416
Hart County,34.3509,-82.96425,GA,147,4199517
Heard County,33.29703,-85.12827,GA,149,4199820
Henry County,33.453,-84.1542,GA,151,4200051
Houston County,32.45901,-83.66624,GA,153,4201512
Irwin County,31.60228,-83.27638,GA,155,4202266
Jackson County,34.13388,-83.56635,GA,157,4202453
Jasper County,33.31643,-83.68809,GA,159,4202638
Jeff Davis County,31.8056,-82.63694,GA,161,4202662
Jefferson County,33.05484,-82.41815,GA,163,4202678
Jenkins County,32.79247,-81.96353,GA,165,4202750
Johnson County,32.70146,-82.66008,GA,167,4202983
Jones County,33.02513,-83.56052,GA,169,4203171
Lamar County,33.07654,-84.13946,GA,171,4204869
Lanier County,31.03789,-83.06265,GA,173,4205013
Laurens County,32.46366,-82.92224,GA,175,4205152
Lee County,31.77951,-84.14113,GA,177,4205331
Liberty County,31.80723,-81.45626,GA,179,4205615
Lincoln County,33.79366,-82.45121,GA,181,4205780
Lowndes County,30.83386,-83.26771,GA,185,4207045
Lumpkin County,34.57219,-84.00265,GA,187,4207132
Macon County,32.35839,-84.04248,GA,193,4207403
Madison County,34.12778,-83.20904,GA,195,4207451
Marion County,32.35338,-84.52464,GA,197,4207805
McDuffie County,33.48285,-82.48137,GA,189,4208454
McIntosh County,31.48381,-81.37557,GA,191,4208544
Meriwether County,33.04066,-84.68831,GA,199,4208945
Miller County,31.16399,-84.73072,GA,201,4209479
Mitchell County,31.22532,-84.19431,GA,205,4209744
Monroe County,33.01408,-83.91872,GA,207,4209889
Montgomery County,32.17336,-82.53482,GA,209,4209939
Morgan County,33.59083,-83.49238,GA,211,4210114
Murray County,34.78845,-84.74809,GA,213,4211691
Muscogee County,32.50996,-84.87704,GA,215,4211716
Newton County,33.55505,-83.85019,GA,217,4212736
Oconee County,33.83494,-83.43705,GA,219,4213838
Oglethorpe County,33.88065,-83.0807,GA,221,4213930
Paulding County,33.92055,-84.86729,GA,223,4214993
Peach County,32.56878,-83.82688,GA,225,4215089
Pickens County,34.46432,-84.46564,GA,227,4215637
